timestamp,Temperature,Humidity,Precipitation,Wind_Speed,Wind_Direction
20200809T1000,29.357971,62,0,7.5207877,22.932098
20200809T1100,30.207972,58,0,7.36826,40.601288
20200809T1200,30.777971,55,0,7.6331854,60.751175
20200809T1300,30.777971,56,0,8.172013,70.97439
20200809T1400,29.097973,64,0.2,7.078424,70.20111
20200809T1500,27.847973,71,0.5,2.8318708,48.81407
20200809T1600,27.427973,73,0.7,1.191377,333.43497
20200809T1700,27.587973,81,0.9,2.382754,296.56506
20200809T1800,26.557972,88,1,1.332,306.8699
20200809T1900,26.137972,85,0.6,2.2761226,339.44397
20200809T2000,26.227972,80,0.2,5.694981,10.7842865
20200809T2100,26.027971,75,0,5.3876066,8.530762
20200809T2200,25.247972,74,0,5.8849683,5.194412
20200809T2300,25.077972,74,0,5.9150395,352.23483
20200810T0000,25.117971,74,0,5.1725526,348.11133
20200810T0100,24.877972,76,0,4.3038235,338.1986
20200810T0200,24.647972,77,0,4.057684,336.8014
20200810T0300,24.727972,78,0,4.00487,3.8140564
20200810T0400,24.617971,78,0,4.5366287,356.63354
20200810T0500,24.877972,75,0,5.328,360
20200810T0600,24.817972,74,0,5.8608,360
20200810T0700,26.077972,73,0,8.062727,7.594635
20200810T0800,27.207972,70,0,7.5771956,10.124664
20200810T0900,27.877972,67,0,7.5818768,18.434952
20200810T1000,28.197971,64,0,6.0748544,15.255127
20200810T1100,28.447971,69,0.7,5.4919763,22.833649
20200810T1200,28.657972,71,0.7,6.074855,37.87497
20200810T1300,28.167973,70,0.4,7.168091,41.987198
20200810T1400,26.167973,81,0.8,7.0331616,37.30394
20200810T1500,26.797972,78,1,5.6449146,19.29004
20200810T1600,26.517971,80,1,5.842608,24.227737
20200810T1700,26.547972,81,0.5,7.033162,24.623566
20200810T1800,25.597973,87,0,5.9568853,26.565033
20200810T1900,24.757973,82,0,4.652476,13.240509
20200810T2000,24.697971,82,0,3.6234312,17.102722
20200810T2100,24.187971,83,0,3.996,36.86989
20200810T2200,24.227972,83,0,3.9603205,47.726303
20200810T2300,24.037971,84,0,3.6234317,53.97262
20200811T0000,23.647972,83,0,3.7105224,21.037506
20200811T0100,23.307972,81,0,5.1243067,8.972626
20200811T0200,23.337973,79,0,5.0615997,360
20200811T0300,23.157972,78,0,5.068606,356.98724
20200811T0400,23.217972,79,0,5.1243067,351.02737
20200811T0500,23.657972,78,0,5.068606,356.98724
20200811T0600,23.697971,78,0,5.328,360
20200811T0700,24.907972,81,0,5.0615997,360
20200811T0800,25.897972,75,0,5.7198505,27.75853
20200811T0900,27.167973,69,0,5.701209,52.594643
20200811T1000,28.127972,66,0,8.262695,88.15238
20200811T1100,28.957972,63,0,11.003319,96.95296
20200811T1200,29.197971,61,0,11.990959,91.273026
20200811T1300,28.417973,66,0.3,10.474637,97.305756
20200811T1400,27.577972,74,0.5,8.2066765,125.75389
20200811T1500,27.587973,79,0.6,6.7394466,161.56505
20200811T1600,25.217972,92,0.7,6.744709,189.09027
20200811T1700,24.657972,90,1,7.3150935,213.11134
20200811T1800,23.737972,95,0,5.7198505,207.75854
20200811T1900,23.037971,98,0,3.767465,225
20200811T2000,23.207972,98,0.3,1.7870656,243.43495
20200811T2100,23.117971,95,0,1.332,360
20200811T2200,23.797972,87,0,2.6772869,5.7105865
20200811T2300,24.227972,82,0,3.7391024,4.085617
